Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Sophia.I,2022.05.30 17:57:13 EDT,823,VPN,0,1,172.21.246.13,10.128.20.109,UDP,1194,41638862,
openvpn-server,Deborah.Q,2022.05.30 18:26:44 EDT,4192,VPN,0,1,172.29.204.54,10.128.20.224,UDP,1194,837498720,
openvpn-server,Charles.F,2022.05.30 18:57:08 EDT,7228,VPN,0,1,172.25.110.207,10.128.20.130,UDP,1194,586328132,
openvpn-server,Christian.F,2022.05.31 07:21:43 EDT,18259,VPN,0,1,172.23.62.120,10.128.20.68,UDP,1194,1788542086,
openvpn-server,Deborah.Q,2022.05.31 07:59:04 EDT,18896,VPN,0,1,172.19.55.85,10.128.20.103,UDP,1194,928851776,
openvpn-server,Roy.D,2022.05.31 08:23:23 EDT,,VPN,0,0,172.26.9.173,,UDP,1194,,user not found
openvpn-server,Kathryn.C,2022.05.31 08:47:43 EDT,38725,VPN,0,1,172.31.154.25,10.128.20.41,UDP,1194,4696645450,
openvpn-server,Betty.J,2022.05.31 09:03:32 EDT,9385,VPN,0,1,172.24.206.13,10.128.20.236,UDP,1194,2476457490,
openvpn-server,Patrick.X,2022.05.31 09:19:55 EDT,26917,VPN,0,1,172.27.15.223,10.128.20.248,UDP,1194,2775681040,
openvpn-server,John.F,2022.05.31 09:53:29 EDT,6279,VPN,0,1,172.27.47.57,10.128.20.35,UDP,1194,786042894,
openvpn-server,Jason.C,2022.05.31 10:17:28 EDT,14937,VPN,0,1,172.19.249.19,10.128.20.190,UDP,1194,1053551421,
openvpn-server,Barbara.O,2022.05.31 10:42:07 EDT,12357,VPN,0,1,172.19.87.138,10.128.20.227,UDP,1194,2094462072,
openvpn-server,Arthur.P,2022.05.31 11:02:23 EDT,,VPN,0,0,172.25.162.91,,UDP,1194,,user not found
openvpn-server,Martha.M,2022.05.31 11:20:38 EDT,28065,VPN,0,1,172.17.52.226,10.128.20.203,UDP,1194,7581142320,
openvpn-server,Joyce.V,2022.05.31 11:46:50 EDT,23525,VPN,0,1,172.19.58.95,10.128.20.122,UDP,1194,1193682025,
openvpn-server,Jeffrey.C,2022.05.31 12:19:41 EDT,3865,VPN,0,1,172.23.75.248,10.128.20.102,UDP,1194,562825165,
openvpn-server,Alice.H,2022.05.31 12:31:43 EDT,10374,VPN,0,1,172.29.104.175,10.128.20.76,UDP,1194,1649237772,
openvpn-server,Betty.J,2022.05.31 13:00:28 EDT,12905,VPN,0,1,172.27.248.54,10.128.20.239,UDP,1194,2801843265,
openvpn-server,Stephanie.Y,2022.05.31 13:22:44 EDT,13255,VPN,0,1,172.29.14.5,10.128.20.3,UDP,1194,209004840,
openvpn-server,Richard.O,2022.05.31 13:54:47 EDT,21079,VPN,0,1,172.23.224.151,10.128.20.222,UDP,1194,5368736984,
openvpn-server,Charles.F,2022.05.31 14:08:59 EDT,2125,VPN,0,1,172.19.60.228,10.128.20.24,UDP,1194,111821750,
openvpn-server,Sophia.I,2022.05.31 14:21:32 EDT,7440,VPN,0,1,172.22.136.228,10.128.20.211,UDP,1194,1732552800,
openvpn-server,Kevin.I,2022.05.31 14:33:25 EDT,6772,VPN,0,1,172.24.163.45,10.128.20.90,UDP,1194,1258725184,
openvpn-server,Brittany.C,2022.05.31 15:08:38 EDT,5014,VPN,0,1,172.31.237.138,10.128.20.199,UDP,1194,861485424,
openvpn-server,John.F,2022.05.31 15:19:51 EDT,4575,VPN,0,1,172.18.119.70,10.128.20.150,UDP,1194,463054050,
openvpn-server,David.D,2022.05.31 15:54:52 EDT,5112,VPN,0,1,172.23.87.63,10.128.20.233,UDP,1194,1320582960,
openvpn-server,Marilyn.G,2022.05.31 16:29:34 EDT,6626,VPN,0,1,172.20.234.60,10.128.20.15,UDP,1194,1809666616,
openvpn-server,George.N,2022.05.31 16:54:43 EDT,,VPN,0,0,172.24.187.183,,UDP,1194,,user not found
openvpn-server,Charles.F,2022.05.31 17:22:59 EDT,6247,VPN,0,1,172.25.170.160,10.128.20.152,UDP,1194,227659421,
openvpn-server,Brittany.C,2022.05.31 17:49:04 EDT,4837,VPN,0,1,172.18.148.86,10.128.20.237,UDP,1194,702540391,
openvpn-server,Bobby.W,2022.05.31 18:07:14 EDT,1157,VPN,0,1,172.28.194.3,10.128.20.91,UDP,1194,104727012,
openvpn-server,Joshua.P,2022.05.31 18:38:21 EDT,3823,VPN,0,1,172.20.63.223,10.128.20.156,UDP,1194,941585785,
openvpn-server,Grace.V,2022.06.01 07:07:41 EDT,,VPN,0,0,172.16.175.73,,UDP,1194,,user not found
openvpn-server,John.F,2022.06.01 07:23:18 EDT,21564,VPN,0,1,172.25.76.9,10.128.20.21,UDP,1194,3374356284,
openvpn-server,Jeffrey.C,2022.06.01 07:44:37 EDT,14491,VPN,0,1,172.23.236.153,10.128.20.45,UDP,1194,1763322844,
openvpn-server,Stephanie.Y,2022.06.01 08:06:03 EDT,25538,VPN,0,1,172.20.34.5,10.128.20.195,UDP,1194,2717115510,
openvpn-server,Richard.O,2022.06.01 08:27:29 EDT,37951,VPN,0,1,172.29.164.215,10.128.20.65,UDP,1194,870444136,
openvpn-server,Alice.H,2022.06.01 09:05:17 EDT,8381,VPN,0,1,172.19.34.66,10.128.20.189,UDP,1194,1512074877,
openvpn-server,Benjamin.N,2022.06.01 09:22:42 EDT,13875,VPN,0,1,172.25.56.97,10.128.20.168,UDP,1194,338813625,
openvpn-server,Kathryn.C,2022.06.01 09:44:06 EDT,1095,VPN,0,1,172.20.13.212,10.128.20.207,UDP,1194,90019950,
openvpn-server,Christian.F,2022.06.01 10:07:04 EDT,16666,VPN,0,1,172.24.77.228,10.128.20.9,UDP,1194,2607929012,
openvpn-server,Barbara.O,2022.06.01 10:25:31 EDT,29625,VPN,0,1,172.28.23.248,10.128.20.63,UDP,1194,1322193375,
openvpn-server,Betty.J,2022.06.01 10:41:37 EDT,2574,VPN,0,1,172.23.119.74,10.128.20.185,UDP,1194,349770564,
openvpn-server,Charles.F,2022.06.01 11:19:44 EDT,9810,VPN,0,1,172.20.159.238,10.128.20.199,UDP,1194,481131450,
openvpn-server,Patrick.X,2022.06.01 11:35:02 EDT,19542,VPN,0,1,172.31.48.36,10.128.20.100,UDP,1194,5379932142,
openvpn-server,Alice.H,2022.06.01 11:45:31 EDT,22022,VPN,0,1,172.28.215.227,10.128.20.51,UDP,1194,5875337468,
openvpn-server,Deborah.Q,2022.06.01 12:14:58 EDT,23347,VPN,0,1,172.26.229.31,10.128.20.247,UDP,1194,6292740257,
openvpn-server,Jason.C,2022.06.01 12:43:42 EDT,6670,VPN,0,1,172.30.80.157,10.128.20.205,UDP,1194,146793360,
openvpn-server,Bobby.W,2022.06.01 13:05:27 EDT,,VPN,0,0,172.19.223.230,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Martha.M,2022.06.01 13:40:05 EDT,10458,VPN,0,1,172.20.115.201,10.128.20.245,UDP,1194,2457316260,
openvpn-server,Bobby.W,2022.06.01 14:14:07 EDT,4059,VPN,0,1,172.30.109.97,10.128.20.191,UDP,1194,1016767323,
openvpn-server,Charles.F,2022.06.01 14:36:23 EDT,3254,VPN,0,1,172.21.145.229,10.128.20.18,UDP,1194,535706020,
openvpn-server,Brittany.C,2022.06.01 15:12:38 EDT,8538,VPN,0,1,172.22.235.47,10.128.20.250,UDP,1194,462332700,
openvpn-server,Charles.F,2022.06.01 15:44:03 EDT,11336,VPN,0,1,172.26.153.155,10.128.20.203,UDP,1194,2670602896,
openvpn-server,Benjamin.N,2022.06.01 16:04:56 EDT,1547,VPN,0,1,172.16.199.250,10.128.20.5,UDP,1194,164577595,
openvpn-server,Kathryn.C,2022.06.01 16:30:17 EDT,7142,VPN,0,1,172.28.133.65,10.128.20.232,UDP,1194,163037576,
openvpn-server,Jason.C,2022.06.01 16:55:29 EDT,8212,VPN,0,1,172.31.143.186,10.128.20.48,UDP,1194,568278612,
openvpn-server,Bobby.W,2022.06.01 17:23:05 EDT,,VPN,0,0,172.25.54.123,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,David.D,2022.06.01 17:58:49 EDT,4489,VPN,0,1,172.19.96.143,10.128.20.194,UDP,1194,1125401278,
openvpn-server,Alice.H,2022.06.01 18:15:06 EDT,,VPN,0,0,172.27.75.48,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kevin.I,2022.06.01 18:38:48 EDT,7186,VPN,0,1,172.29.152.72,10.128.20.124,UDP,1194,1171626998,
openvpn-server,Betty.J,2022.06.02 07:01:25 EDT,6436,VPN,0,1,172.28.208.33,10.128.20.139,UDP,1194,793423644,
openvpn-server,Joyce.V,2022.06.02 07:13:47 EDT,,VPN,0,0,172.20.52.9,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Deborah.Q,2022.06.02 07:31:28 EDT,22333,VPN,0,1,172.25.72.93,10.128.20.211,UDP,1194,2987262080,
openvpn-server,Charles.F,2022.06.02 07:51:26 EDT,33609,VPN,0,1,172.28.69.78,10.128.20.91,UDP,1194,560866992,
openvpn-server,Logan.G,2022.06.02 08:02:20 EDT,18723,VPN,0,1,172.30.157.191,10.128.20.241,UDP,1194,1593626868,
openvpn-server,Keith.Q,2022.06.02 08:34:47 EDT,8698,VPN,0,1,172.27.129.28,10.128.20.87,UDP,1194,1718542142,
openvpn-server,John.F,2022.06.02 09:01:41 EDT,28263,VPN,0,1,172.25.72.99,10.128.20.240,UDP,1194,3380085222,
openvpn-server,Brittany.C,2022.06.02 09:20:49 EDT,3113,VPN,0,1,172.24.28.5,10.128.20.250,UDP,1194,710206046,
openvpn-server,Jason.C,2022.06.02 09:50:41 EDT,24413,VPN,0,1,172.27.144.229,10.128.20.190,UDP,1194,4379399244,
openvpn-server,Betty.J,2022.06.02 10:21:35 EDT,14223,VPN,0,1,172.26.232.102,10.128.20.254,UDP,1194,1020870048,
openvpn-server,Christian.F,2022.06.02 10:33:17 EDT,,VPN,0,0,172.17.253.64,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kevin.I,2022.06.02 10:45:25 EDT,,VPN,0,0,172.22.8.69,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Richard.O,2022.06.02 10:58:35 EDT,16590,VPN,0,1,172.18.245.176,10.128.20.107,UDP,1194,2960518680,
openvpn-server,Benjamin.N,2022.06.02 11:23:46 EDT,25853,VPN,0,1,172.26.144.66,10.128.20.115,UDP,1194,7052336458,
openvpn-server,Martha.M,2022.06.02 11:39:10 EDT,,VPN,0,0,172.17.57.6,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Alice.H,2022.06.02 12:16:57 EDT,1018,VPN,0,1,172.19.0.147,10.128.20.159,UDP,1194,157341062,
openvpn-server,Kevin.I,2022.06.02 12:28:24 EDT,22617,VPN,0,1,172.28.255.190,10.128.20.6,UDP,1194,6008454837,
openvpn-server,Sophia.I,2022.06.02 12:39:47 EDT,6549,VPN,0,1,172.27.172.48,10.128.20.227,UDP,1194,891070038,
openvpn-server,Joyce.V,2022.06.02 13:07:54 EDT,19439,VPN,0,1,172.24.91.230,10.128.20.108,UDP,1194,2085202091,
openvpn-server,David.D,2022.06.02 13:43:14 EDT,2752,VPN,0,1,172.17.179.168,10.128.20.191,UDP,1194,262771968,
openvpn-server,Deborah.Q,2022.06.02 14:09:04 EDT,,VPN,0,0,172.17.186.237,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Stephanie.Y,2022.06.02 14:41:25 EDT,,VPN,0,0,172.28.134.10,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Sophia.I,2022.06.02 14:57:36 EDT,3204,VPN,0,1,172.16.245.134,10.128.20.84,UDP,1194,84675312,
openvpn-server,Kathryn.C,2022.06.02 15:10:33 EDT,,VPN,0,0,172.20.100.246,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Christian.F,2022.06.02 15:43:34 EDT,6097,VPN,0,1,172.21.183.93,10.128.20.22,UDP,1194,293582744,
openvpn-server,Deborah.Q,2022.06.02 16:15:00 EDT,6193,VPN,0,1,172.23.197.91,10.128.20.61,UDP,1194,1217419940,
openvpn-server,Keith.Q,2022.06.02 16:50:23 EDT,6540,VPN,0,1,172.27.27.176,10.128.20.104,UDP,1194,1010371140,
openvpn-server,Barbara.O,2022.06.02 17:25:38 EDT,4937,VPN,0,1,172.27.73.137,10.128.20.56,UDP,1194,790793849,
openvpn-server,Jeffrey.C,2022.06.02 17:57:39 EDT,2227,VPN,0,1,172.19.216.229,10.128.20.91,UDP,1194,165664303,
openvpn-server,Patrick.X,2022.06.02 18:26:56 EDT,4095,VPN,0,1,172.18.231.77,10.128.20.121,UDP,1194,125872110,
openvpn-server,Benjamin.N,2022.06.02 18:38:27 EDT,5614,VPN,0,1,172.24.104.125,10.128.20.15,UDP,1194,202525050,
openvpn-server,Sophia.I,2022.06.03 07:01:18 EDT,2359,VPN,0,1,172.21.96.92,10.128.20.113,UDP,1194,620549104,
openvpn-server,Ethan.N,2022.06.03 07:27:21 EDT,,VPN,0,0,172.30.48.191,,UDP,1194,,user not found
openvpn-server,Alice.H,2022.06.03 07:44:23 EDT,42641,VPN,0,1,172.31.16.163,10.128.20.149,UDP,1194,11103588477,
openvpn-server,Brittany.C,2022.06.03 08:17:53 EDT,27603,VPN,0,1,172.17.8.180,10.128.20.187,UDP,1194,6290088831,
openvpn-server,Joshua.P,2022.06.03 08:39:30 EDT,8245,VPN,0,1,172.28.4.222,10.128.20.94,UDP,1194,2246523395,
openvpn-server,Kathryn.C,2022.06.03 09:19:02 EDT,3520,VPN,0,1,172.16.16.222,10.128.20.69,UDP,1194,670816960,
openvpn-server,Kevin.I,2022.06.03 09:46:29 EDT,32204,VPN,0,1,172.16.34.82,10.128.20.164,UDP,1194,7074220476,
openvpn-server,John.F,2022.06.03 10:18:58 EDT,19947,VPN,0,1,172.24.118.243,10.128.20.43,UDP,1194,248479779,
openvpn-server,Martha.M,2022.06.03 10:38:25 EDT,17006,VPN,0,1,172.18.92.176,10.128.20.227,UDP,1194,2519081774,
openvpn-server,Christian.F,2022.06.03 11:03:01 EDT,25513,VPN,0,1,172.30.218.80,10.128.20.193,UDP,1194,4128207504,
openvpn-server,Marilyn.G,2022.06.03 11:25:27 EDT,13409,VPN,0,1,172.20.158.219,10.128.20.139,UDP,1194,3303320559,
openvpn-server,Barbara.O,2022.06.03 11:45:27 EDT,,VPN,0,0,172.16.233.59,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Betty.J,2022.06.03 11:55:33 EDT,20231,VPN,0,1,172.16.126.224,10.128.20.48,UDP,1194,2657827394,
openvpn-server,Richard.O,2022.06.03 12:32:23 EDT,7808,VPN,0,1,172.23.155.236,10.128.20.91,UDP,1194,700627456,
openvpn-server,Joyce.V,2022.06.03 12:59:09 EDT,13264,VPN,0,1,172.23.188.5,10.128.20.39,UDP,1194,1728591008,
openvpn-server,Samuel.F,2022.06.03 13:17:20 EDT,,VPN,0,0,172.16.98.201,,UDP,1194,,user not found
openvpn-server,Charles.F,2022.06.03 13:37:31 EDT,821,VPN,0,1,172.19.234.140,10.128.20.143,UDP,1194,58696574,
openvpn-server,Barbara.O,2022.06.03 14:12:43 EDT,13069,VPN,0,1,172.27.47.90,10.128.20.83,UDP,1194,487369148,
openvpn-server,Kathryn.C,2022.06.03 14:34:10 EDT,13628,VPN,0,1,172.29.124.29,10.128.20.51,UDP,1194,3714052468,
openvpn-server,Jason.C,2022.06.03 15:10:05 EDT,14378,VPN,0,1,172.27.220.143,10.128.20.241,UDP,1194,2496337116,
openvpn-server,Joshua.P,2022.06.03 15:24:20 EDT,764,VPN,0,1,172.16.166.128,10.128.20.220,UDP,1194,143589980,
openvpn-server,Bobby.W,2022.06.03 15:41:11 EDT,5441,VPN,0,1,172.26.207.64,10.128.20.76,UDP,1194,488400483,
openvpn-server,Sophia.I,2022.06.03 15:56:17 EDT,1105,VPN,0,1,172.21.129.232,10.128.20.233,UDP,1194,163937800,
openvpn-server,Marilyn.G,2022.06.03 16:17:26 EDT,4294,VPN,0,1,172.28.118.130,10.128.20.102,UDP,1194,430421972,
openvpn-server,Patrick.X,2022.06.03 16:45:05 EDT,3410,VPN,0,1,172.29.60.152,10.128.20.108,UDP,1194,103370740,
openvpn-server,Charles.F,2022.06.03 17:02:00 EDT,6426,VPN,0,1,172.30.134.171,10.128.20.181,UDP,1194,128365776,
openvpn-server,John.F,2022.06.03 17:29:07 EDT,3070,VPN,0,1,172.21.253.11,10.128.20.248,UDP,1194,178345510,
openvpn-server,Bobby.W,2022.06.03 17:50:49 EDT,707,VPN,0,1,172.24.131.213,10.128.20.40,UDP,1194,187424993,
openvpn-server,Richard.O,2022.06.03 18:11:09 EDT,4541,VPN,0,1,172.25.209.115,10.128.20.97,UDP,1194,645839184,
openvpn-server,Keith.Q,2022.06.03 18:35:44 EDT,,VPN,0,0,172.21.48.204,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Deborah.Q,2022.06.03 18:58:51 EDT,2775,VPN,0,1,172.31.68.72,10.128.20.37,UDP,1194,554184150,
openvpn-server,Alice.H,2022.06.04 07:16:16 EDT,25164,VPN,0,1,172.27.239.241,10.128.20.87,UDP,1194,946971648,
openvpn-server,Jeffrey.C,2022.06.04 07:41:50 EDT,,VPN,0,0,172.19.187.4,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Benjamin.N,2022.06.04 07:53:38 EDT,,VPN,0,0,172.22.158.73,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Joshua.P,2022.06.04 08:04:05 EDT,2918,VPN,0,1,172.28.199.206,10.128.20.117,UDP,1194,356740090,
openvpn-server,David.D,2022.06.04 08:17:53 EDT,11772,VPN,0,1,172.20.5.156,10.128.20.11,UDP,1194,1544615892,
openvpn-server,Patrick.X,2022.06.04 08:49:01 EDT,10061,VPN,0,1,172.30.147.121,10.128.20.254,UDP,1194,1945867827,
openvpn-server,Barbara.O,2022.06.04 09:11:21 EDT,19828,VPN,0,1,172.19.128.103,10.128.20.133,UDP,1194,5408880120,
openvpn-server,Stephanie.Y,2022.06.04 09:27:34 EDT,32887,VPN,0,1,172.19.91.234,10.128.20.127,UDP,1194,5363343508,
openvpn-server,Charles.F,2022.06.04 09:57:44 EDT,,VPN,0,0,172.22.113.2,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Deborah.Q,2022.06.04 10:30:40 EDT,19127,VPN,0,1,172.19.217.75,10.128.20.73,UDP,1194,4994633510,
openvpn-server,Jason.C,2022.06.04 11:10:07 EDT,16904,VPN,0,1,172.29.165.182,10.128.20.125,UDP,1194,1958345304,
openvpn-server,Benjamin.N,2022.06.04 11:42:17 EDT,12719,VPN,0,1,172.17.186.162,10.128.20.117,UDP,1194,295068081,
openvpn-server,Hannah.Y,2022.06.04 12:17:46 EDT,,VPN,0,0,172.29.108.193,,UDP,1194,,user not found
openvpn-server,David.D,2022.06.04 12:51:05 EDT,19314,VPN,0,1,172.25.213.73,10.128.20.174,UDP,1194,3617415630,
openvpn-server,John.F,2022.06.04 13:06:05 EDT,,VPN,0,0,172.30.36.87,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,John.F,2022.06.04 13:46:04 EDT,14322,VPN,0,1,172.20.220.46,10.128.20.203,UDP,1194,2658120234,
openvpn-server,Keith.Q,2022.06.04 13:57:26 EDT,,VPN,0,0,172.31.84.79,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Christian.F,2022.06.04 14:17:04 EDT,1080,VPN,0,1,172.25.251.84,10.128.20.53,UDP,1194,199622880,
openvpn-server,Kathryn.C,2022.06.04 14:36:45 EDT,15649,VPN,0,1,172.28.158.84,10.128.20.58,UDP,1194,1260652142,
openvpn-server,Marilyn.G,2022.06.04 14:58:58 EDT,15913,VPN,0,1,172.30.102.156,10.128.20.199,UDP,1194,3303029584,
openvpn-server,Joyce.V,2022.06.04 15:13:19 EDT,3257,VPN,0,1,172.27.189.200,10.128.20.223,UDP,1194,22844598,
openvpn-server,Alice.H,2022.06.04 15:32:11 EDT,8428,VPN,0,1,172.27.109.117,10.128.20.207,UDP,1194,640494288,
openvpn-server,Barbara.O,2022.06.04 15:55:53 EDT,10185,VPN,0,1,172.18.124.247,10.128.20.114,UDP,1194,618331350,
openvpn-server,Benjamin.N,2022.06.04 16:23:04 EDT,10764,VPN,0,1,172.16.34.170,10.128.20.64,UDP,1194,1294371000,
openvpn-server,Sophia.I,2022.06.04 16:48:22 EDT,2074,VPN,0,1,172.16.21.214,10.128.20.187,UDP,1194,467274274,
openvpn-server,Christian.F,2022.06.04 17:26:57 EDT,6943,VPN,0,1,172.18.228.216,10.128.20.164,UDP,1194,198215707,
openvpn-server,Keith.Q,2022.06.04 17:53:12 EDT,4603,VPN,0,1,172.20.19.206,10.128.20.185,UDP,1194,545782313,
openvpn-server,Jason.C,2022.06.04 18:31:52 EDT,,VPN,0,0,172.30.116.26,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
